simulator,type,nbF,execCost,lat,flowS,start,end,seed,src,dst,nbCore
IFogSim,net,1,1000,0ms,3125000,15.0,15.0,0,sensor_1,device_1,1
IFogSim,exec,1,1000,0ms,3125000,15.0,15.101,0,NA,NA,1
IFogSim,net,1,1000,0ms,3125000,15.201,15.701,0,device_1,device_2,1
IFogSim,exec,1,1000,0ms,3125000,15.701,16.801000000000002,0,NA,NA,1
IFogSim,net,1,1000,0ms,3125000,15.0,15.0,0,sensor_1,device_1,2
IFogSim,exec,1,1000,0ms,3125000,15.0,15.101,0,NA,NA,2
IFogSim,net,1,1000,0ms,3125000,15.201,15.701,0,device_1,device_2,2
IFogSim,exec,1,1000,0ms,3125000,15.701,16.801000000000002,0,NA,NA,2
IFogSim,net,2,1000,0ms,3125000,15.0,15.0,0,sensor_2,device_1,1
IFogSim,net,2,1000,0ms,3125000,15.0,15.0,0,sensor_2,device_1,1
IFogSim,exec,2,1000,0ms,3125000,15.0,15.102,0,NA,NA,1
IFogSim,exec,2,1000,0ms,3125000,15.0,15.102,0,NA,NA,1
IFogSim,net,2,1000,0ms,3125000,15.202,15.702,0,device_1,device_2,1
IFogSim,net,2,1000,0ms,3125000,15.702,16.201999999999998,0,device_1,device_2,1
IFogSim,exec,2,1000,0ms,3125000,15.702,18.302,0,NA,NA,1
IFogSim,exec,2,1000,0ms,3125000,16.201999999999998,18.302,0,NA,NA,1
IFogSim,net,2,1000,0ms,3125000,15.0,15.0,0,sensor_2,device_1,2
IFogSim,net,2,1000,0ms,3125000,15.0,15.0,0,sensor_2,device_1,2
IFogSim,exec,2,1000,0ms,3125000,15.0,15.102,0,NA,NA,2
IFogSim,exec,2,1000,0ms,3125000,15.0,15.102,0,NA,NA,2
IFogSim,net,2,1000,0ms,3125000,15.202,15.702,0,device_1,device_2,2
IFogSim,net,2,1000,0ms,3125000,15.702,16.201999999999998,0,device_1,device_2,2
IFogSim,exec,2,1000,0ms,3125000,15.702,18.302,0,NA,NA,2
IFogSim,exec,2,1000,0ms,3125000,16.201999999999998,18.302,0,NA,NA,2
IFogSim,net,3,1000,0ms,3125000,15.0,15.0,0,sensor_3,device_1,1
IFogSim,net,3,1000,0ms,3125000,15.0,15.0,0,sensor_3,device_1,1
IFogSim,net,3,1000,0ms,3125000,15.0,15.0,0,sensor_3,device_1,1
IFogSim,exec,3,1000,0ms,3125000,15.0,15.103,0,NA,NA,1
IFogSim,exec,3,1000,0ms,3125000,15.0,15.103,0,NA,NA,1
IFogSim,exec,3,1000,0ms,3125000,15.0,15.103,0,NA,NA,1
IFogSim,net,3,1000,0ms,3125000,15.203,15.703,0,device_1,device_2,1
IFogSim,net,3,1000,0ms,3125000,15.703,16.203,0,device_1,device_2,1
IFogSim,net,3,1000,0ms,3125000,16.203,16.703,0,device_1,device_2,1
IFogSim,exec,3,1000,0ms,3125000,15.703,19.803,0,NA,NA,1
IFogSim,exec,3,1000,0ms,3125000,16.203,19.803,0,NA,NA,1
IFogSim,exec,3,1000,0ms,3125000,16.703,19.803,0,NA,NA,1
IFogSim,net,3,1000,0ms,3125000,15.0,15.0,0,sensor_3,device_1,2
IFogSim,net,3,1000,0ms,3125000,15.0,15.0,0,sensor_3,device_1,2
IFogSim,net,3,1000,0ms,3125000,15.0,15.0,0,sensor_3,device_1,2
IFogSim,exec,3,1000,0ms,3125000,15.0,15.103,0,NA,NA,2
IFogSim,exec,3,1000,0ms,3125000,15.0,15.103,0,NA,NA,2
IFogSim,exec,3,1000,0ms,3125000,15.0,15.103,0,NA,NA,2
IFogSim,net,3,1000,0ms,3125000,15.203,15.703,0,device_1,device_2,2
IFogSim,net,3,1000,0ms,3125000,15.703,16.203,0,device_1,device_2,2
IFogSim,net,3,1000,0ms,3125000,16.203,16.703,0,device_1,device_2,2
IFogSim,exec,3,1000,0ms,3125000,15.703,19.803,0,NA,NA,2
IFogSim,exec,3,1000,0ms,3125000,16.203,19.803,0,NA,NA,2
IFogSim,exec,3,1000,0ms,3125000,16.703,19.803,0,NA,NA,2
IFogSim,net,4,1000,0ms,3125000,15.0,15.0,0,sensor_4,device_1,1
IFogSim,net,4,1000,0ms,3125000,15.0,15.0,0,sensor_4,device_1,1
IFogSim,net,4,1000,0ms,3125000,15.0,15.0,0,sensor_4,device_1,1
IFogSim,net,4,1000,0ms,3125000,15.0,15.0,0,sensor_4,device_1,1
IFogSim,exec,4,1000,0ms,3125000,15.0,15.104,0,NA,NA,1
IFogSim,exec,4,1000,0ms,3125000,15.0,15.104,0,NA,NA,1
IFogSim,exec,4,1000,0ms,3125000,15.0,15.104,0,NA,NA,1
IFogSim,exec,4,1000,0ms,3125000,15.0,15.104,0,NA,NA,1
IFogSim,net,4,1000,0ms,3125000,15.203999999999999,15.703999999999999,0,device_1,device_2,1
IFogSim,net,4,1000,0ms,3125000,15.703999999999999,16.204,0,device_1,device_2,1
IFogSim,net,4,1000,0ms,3125000,16.204,16.704,0,device_1,device_2,1
IFogSim,net,4,1000,0ms,3125000,16.704,17.204,0,device_1,device_2,1
IFogSim,exec,4,1000,0ms,3125000,15.703999999999999,21.304000000000002,0,NA,NA,1
IFogSim,exec,4,1000,0ms,3125000,16.204,21.304000000000002,0,NA,NA,1
IFogSim,exec,4,1000,0ms,3125000,16.704,21.304000000000002,0,NA,NA,1
IFogSim,exec,4,1000,0ms,3125000,17.204,21.304000000000002,0,NA,NA,1
IFogSim,net,4,1000,0ms,3125000,15.0,15.0,0,sensor_4,device_1,2
IFogSim,net,4,1000,0ms,3125000,15.0,15.0,0,sensor_4,device_1,2
IFogSim,net,4,1000,0ms,3125000,15.0,15.0,0,sensor_4,device_1,2
IFogSim,net,4,1000,0ms,3125000,15.0,15.0,0,sensor_4,device_1,2
IFogSim,exec,4,1000,0ms,3125000,15.0,15.104,0,NA,NA,2
IFogSim,exec,4,1000,0ms,3125000,15.0,15.104,0,NA,NA,2
IFogSim,exec,4,1000,0ms,3125000,15.0,15.104,0,NA,NA,2
IFogSim,exec,4,1000,0ms,3125000,15.0,15.104,0,NA,NA,2
IFogSim,net,4,1000,0ms,3125000,15.203999999999999,15.703999999999999,0,device_1,device_2,2
IFogSim,net,4,1000,0ms,3125000,15.703999999999999,16.204,0,device_1,device_2,2
IFogSim,net,4,1000,0ms,3125000,16.204,16.704,0,device_1,device_2,2
IFogSim,net,4,1000,0ms,3125000,16.704,17.204,0,device_1,device_2,2
IFogSim,exec,4,1000,0ms,3125000,15.703999999999999,21.304000000000002,0,NA,NA,2
IFogSim,exec,4,1000,0ms,3125000,16.204,21.304000000000002,0,NA,NA,2
IFogSim,exec,4,1000,0ms,3125000,16.704,21.304000000000002,0,NA,NA,2
IFogSim,exec,4,1000,0ms,3125000,17.204,21.304000000000002,0,NA,NA,2
IFogSim,net,5,1000,0ms,3125000,15.0,15.0,0,sensor_5,device_1,1
IFogSim,net,5,1000,0ms,3125000,15.0,15.0,0,sensor_5,device_1,1
IFogSim,net,5,1000,0ms,3125000,15.0,15.0,0,sensor_5,device_1,1
IFogSim,net,5,1000,0ms,3125000,15.0,15.0,0,sensor_5,device_1,1
IFogSim,net,5,1000,0ms,3125000,15.0,15.0,0,sensor_5,device_1,1
